SHC_filename;play_name;character;word_count
A77567_01;The English Moor;A77567_01-inductor.txt;300
A77567_01;The English Moor;A77567_01-lucy.txt;949
A77567_01;The English Moor;A77567_01-madge.txt;33
A77567_01;The English Moor;A77567_01-meanwell.txt;644
A77567_01;The English Moor;A77567_01-mercury.txt;199
A77567_01;The English Moor;A77567_01-millicent.txt;2213
A77567_01;The English Moor;A77567_01-moor.txt;105
A77567_01;The English Moor;A77567_01-multiple.txt;9
A77567_01;The English Moor;A77567_01-nat.txt;3708
A77567_01;The English Moor;A77567_01-page.txt;155
A77567_01;The English Moor;A77567_01-phillis.txt;1871
A77567_01;The English Moor;A77567_01-quicksands.txt;3854
A77567_01;The English Moor;A77567_01-rafe.txt;1010
A77567_01;The English Moor;A77567_01-rashley.txt;661
A77567_01;The English Moor;A77567_01-testy.txt;1918
A77567_01;The English Moor;A77567_01-theophilus.txt;2792
A77567_01;The English Moor;A77567_01-unassigned.txt;24
A77567_01;The English Moor;A77567_01-vincent.txt;831
A77567_01;The English Moor;A77567_01-winlose.txt;136
A77567_02;The Lovesick Court;A77567_02-all.txt;21
A77567_02;The Lovesick Court;A77567_02-ambo.txt;6
A77567_02;The Lovesick Court;A77567_02-both.txt;14
A77567_02;The Lovesick Court;A77567_02-disanius.txt;3217
A77567_02;The Lovesick Court;A77567_02-doris.txt;1927
A77567_02;The Lovesick Court;A77567_02-eudina.txt;2170
A77567_02;The Lovesick Court;A77567_02-euphathus.txt;132
A77567_02;The Lovesick Court;A77567_02-garula.txt;1923
A77567_02;The Lovesick Court;A77567_02-geron.txt;971
A77567_02;The Lovesick Court;A77567_02-justinius.txt;669
A77567_02;The Lovesick Court;A77567_02-king.txt;2289
A77567_02;The Lovesick Court;A77567_02-matho.txt;821
A77567_02;The Lovesick Court;A77567_02-multiple.txt;30
A77567_02;The Lovesick Court;A77567_02-philargus.txt;2520
A77567_02;The Lovesick Court;A77567_02-philocles.txt;2467
A77567_02;The Lovesick Court;A77567_02-placilla.txt;903
A77567_02;The Lovesick Court;A77567_02-rustic.txt;13
A77567_02;The Lovesick Court;A77567_02-stratocles.txt;917
A77567_02;The Lovesick Court;A77567_02-tersulus.txt;393
A77567_02;The Lovesick Court;A77567_02-thymele.txt;2239
A77567_02;The Lovesick Court;A77567_02-unassigned.txt;24
A77567_02;The Lovesick Court;A77567_02-varillus.txt;949
A77567_02;The Lovesick Court;A77567_02-yyyy_1.txt;770
A77567_02;The Lovesick Court;A77567_02-yyyy_2.txt;308
A77567_02;The Lovesick Court;A77567_02-yyyy_3.txt;100
A77567_02;The Lovesick Court;A77567_02-yyyy_4.txt;93
A77567_03;Covent Garden;A77567_03-all.txt;57
A77567_03;Covent Garden;A77567_03-anthony.txt;981
A77567_03;Covent Garden;A77567_03-belt.txt;601
A77567_03;Covent Garden;A77567_03-betty.txt;161
A77567_03;Covent Garden;A77567_03-both.txt;8
A77567_03;Covent Garden;A77567_03-boy.txt;82
A77567_03;Covent Garden;A77567_03-captain.txt;955
A77567_03;Covent Garden;A77567_03-citizen.txt;161
A77567_03;Covent Garden;A77567_03-clotpoll.txt;2318
A77567_03;Covent Garden;A77567_03-cockbrain.txt;1927
A77567_03;Covent Garden;A77567_03-crossewill.txt;6056
A77567_03;Covent Garden;A77567_03-damaris.txt;412
A77567_03;Covent Garden;A77567_03-dorcas.txt;405
A77567_03;Covent Garden;A77567_03-drawer.txt;457
A77567_03;Covent Garden;A77567_03-francisca.txt;240
A77567_03;Covent Garden;A77567_03-gabriel.txt;2022
A77567_03;Covent Garden;A77567_03-kate.txt;1341
A77567_03;Covent Garden;A77567_03-laundress.txt;192
A77567_03;Covent Garden;A77567_03-lucy.txt;673
A77567_03;Covent Garden;A77567_03-madge.txt;1170
A77567_03;Covent Garden;A77567_03-mich.txt;13
A77567_03;Covent Garden;A77567_03-mihil.txt;2221
A77567_03;Covent Garden;A77567_03-mihill.txt;2591
A77567_03;Covent Garden;A77567_03-multiple.txt;84
A77567_03;Covent Garden;A77567_03-nick.txt;3260
A77567_03;Covent Garden;A77567_03-parson.txt;10
A77567_03;Covent Garden;A77567_03-pig.txt;118
A77567_03;Covent Garden;A77567_03-rafe.txt;38
A77567_03;Covent Garden;A77567_03-rooksbill.txt;941
A77567_03;Covent Garden;A77567_03-shoemaker.txt;347
A77567_03;Covent Garden;A77567_03-tailor.txt;167
A77567_03;Covent Garden;A77567_03-unassigned.txt;25
A77567_03;Covent Garden;A77567_03-vintner.txt;185
A77567_03;Covent Garden;A77567_03-women.txt;10
A77567_04;New Academy;A77567_04-blithe.txt;464
A77567_04;New Academy;A77567_04-camelion.txt;1654
A77567_04;New Academy;A77567_04-cash.txt;2051
A77567_04;New Academy;A77567_04-ephraim.txt;892
A77567_04;New Academy;A77567_04-erasmus.txt;1629
A77567_04;New Academy;A77567_04-frances.txt;26
A77567_04;New Academy;A77567_04-gabriella.txt;612
A77567_04;New Academy;A77567_04-gallant.txt;844
A77567_04;New Academy;A77567_04-hannah.txt;1598
A77567_04;New Academy;A77567_04-hardyman.txt;533
A77567_04;New Academy;A77567_04-joyce.txt;914
A77567_04;New Academy;A77567_04-lady.txt;20
A77567_04;New Academy;A77567_04-lafoy.txt;3851
A77567_04;New Academy;A77567_04-matchil.txt;5636
A77567_04;New Academy;A77567_04-matcvhil.txt;55
A77567_04;New Academy;A77567_04-multiple.txt;77
A77567_04;New Academy;A77567_04-nehemiah.txt;2433
A77567_04;New Academy;A77567_04-omnes.txt;17
A77567_04;New Academy;A77567_04-papillion.txt;381
A77567_04;New Academy;A77567_04-philip.txt;16
A77567_04;New Academy;A77567_04-post.txt;37
A77567_04;New Academy;A77567_04-rachel.txt;1970
A77567_04;New Academy;A77567_04-servant.txt;74
A77567_04;New Academy;A77567_04-strigood.txt;3435
A77567_04;New Academy;A77567_04-unassigned.txt;148
A77567_04;New Academy;A77567_04-valentine.txt;3059
A77567_04;New Academy;A77567_04-whimbly.txt;1367
A77567_05;The Queen and the Concubine;A77567_05-alinda.txt;3709
A77567_05;The Queen and the Concubine;A77567_05-all.txt;40
A77567_05;The Queen and the Concubine;A77567_05-alphonso.txt;524
A77567_05;The Queen and the Concubine;A77567_05-ambo.txt;15
A77567_05;The Queen and the Concubine;A77567_05-andrea.txt;2639
A77567_05;The Queen and the Concubine;A77567_05-both.txt;8
A77567_05;The Queen and the Concubine;A77567_05-captain.txt;237
A77567_05;The Queen and the Concubine;A77567_05-countryman.txt;463
A77567_05;The Queen and the Concubine;A77567_05-crier.txt;57
A77567_05;The Queen and the Concubine;A77567_05-curate.txt;1096
A77567_05;The Queen and the Concubine;A77567_05-doctor.txt;62
A77567_05;The Queen and the Concubine;A77567_05-eulalia.txt;6142
A77567_05;The Queen and the Concubine;A77567_05-fabio.txt;172
A77567_05;The Queen and the Concubine;A77567_05-flavello.txt;1057
A77567_05;The Queen and the Concubine;A77567_05-gonzago.txt;538
A77567_05;The Queen and the Concubine;A77567_05-guard.txt;36
A77567_05;The Queen and the Concubine;A77567_05-horatio.txt;4509
A77567_05;The Queen and the Concubine;A77567_05-jago.txt;54
A77567_05;The Queen and the Concubine;A77567_05-keeper.txt;359
A77567_05;The Queen and the Concubine;A77567_05-king.txt;4610
A77567_05;The Queen and the Concubine;A77567_05-lodovic.txt;5
A77567_05;The Queen and the Concubine;A77567_05-lodovico.txt;2303
A77567_05;The Queen and the Concubine;A77567_05-lollio.txt;1786
A77567_05;The Queen and the Concubine;A77567_05-multiple.txt;31
A77567_05;The Queen and the Concubine;A77567_05-omnes.txt;112
A77567_05;The Queen and the Concubine;A77567_05-pedro.txt;996
A77567_05;The Queen and the Concubine;A77567_05-petruchio.txt;2330
A77567_05;The Queen and the Concubine;A77567_05-poggio.txt;1591
A77567_05;The Queen and the Concubine;A77567_05-prince.txt;115
A77567_05;The Queen and the Concubine;A77567_05-queen.txt;6
A77567_05;The Queen and the Concubine;A77567_05-rugio.txt;160
A77567_05;The Queen and the Concubine;A77567_05-servant.txt;159
A77567_05;The Queen and the Concubine;A77567_05-sforza.txt;2383
A77567_05;The Queen and the Concubine;A77567_05-soldier.txt;14
A77567_05;The Queen and the Concubine;A77567_05-soldiers.txt;26
A77567_05;The Queen and the Concubine;A77567_05-strozzo.txt;87
A77567_05;The Queen and the Concubine;A77567_05-UNASSIGNED.txt;6
A77567_05;The Queen and the Concubine;A77567_05-xxxx_1.txt;124
A77567_05;The Queen and the Concubine;A77567_05-xxxx_2.txt;164
A77567_05;The Queen and the Concubine;A77567_05-xxxx_3.txt;13
A77567_05;The Queen and the Concubine;A77567_05-yyyy_1.txt;151
A77567_05;The Queen and the Concubine;A77567_05-yyyy_2.txt;108
A77567_05;The Queen and the Concubine;A77567_05-yyyy_3.txt;16
A16923;The Antipodes;blaze.txt;98
A29635;The Damoiselle;dryground.txt;22
A29635;The Damoiselle;jane.txt;15
A16924;The Northern Lass;trainewell.txt;10
A29633;The Damoiselle;unassivalentinegned.txt;10
A29634;The Damoiselle;valentine.txt;277
A29635;The Damoiselle;vermin.txt;56
